pasta,arquivo,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,rms,centroide,largura,contraste0,contraste1,contraste2,contraste3,contraste4,contraste5,contraste6,planicidade,rolloff,zcr,assimetria,curtose,variancia,classe
5,100032-3-0-0.wav,-177.62753827617695,36.42548633935527,-144.05525832297212,-35.688810732985985,-28.844445394607135,-20.5987240101515,7.71505138109588,17.443930417132865,8.673461753618813,-2.405659967805069,-8.774608026759463,-7.8952170197023275,2.1245939007930534,0.13929603,1837.9640041003531,1120.9733508686013,19.69583324212869,13.097427399742338,13.920740777101235,24.232463000859177,19.305065474888423,23.94186401737663,32.05080379165869,0.008373214,2628.125,0.1658203125,0.2903604805469513,5.3737911132098315,0.02698003,3
10,100648-1-0-0.wav,-172.71316600953338,98.00107955135142,-12.507725173649593,-9.346917455785805,-12.47474522012923,-26.663267855634547,-21.467710716860445,-1.5830973305741292,-18.88006765547349,-6.516129154753496,-7.421525492429458,-10.325048616200077,-17.796392834751288,0.041864604,1674.9046086954636,1763.7073501858388,19.059704327191714,11.617951287717057,15.670805396447737,18.409797166897995,18.871315115612298,21.76912367030832,31.474354504506987,0.020982038,3325.5208333333335,0.12602306547619047,0.04141266644001007,0.5157424480792301,0.0018365564,1
10,100648-1-1-0.wav,-175.10395757162084,88.67780982340854,-19.74768820727835,2.671196300232009,-25.735525146564715,-20.19291060281221,-10.42627512033276,-15.14417731706087,-7.703444372483854,-6.936186398873845,-9.692932884793331,-12.53877756963806,-4.680358034310175,0.032164637,1857.5502533739775,1754.9391751417807,19.66094992424405,11.052252369105775,13.258990484484611,15.628519190882516,15.647285689245715,22.433148643805286,33.51111070248529,0.032587014,3571.2594696969695,0.16861979166666666,-0.09424977749586105,0.5855372429148997,0.001059736,1
10,100648-1-2-0.wav,-178.00963178256177,68.64731361024288,-10.755038635999037,13.882956893288084,-25.63587664852995,-9.967417450420099,-10.58549330492144,-18.434601566998975,-10.353589637550417,-4.212170710670593,-20.985114314771327,4.230813140383059,-18.871908356866825,0.041639134,2225.457447943376,1824.9552974689764,21.392130603168066,11.279466896915359,13.819294017834865,16.909321807242545,15.478287661324986,25.03723250975814,32.88866505507112,0.032055516,3899.0384615384614,0.25240384615384615,-0.12210212647914886,1.6598515059180965,0.0019185945,1
10,100648-1-3-0.wav,-177.39932307059522,78.03432714609382,-14.76404906179965,13.12999815128339,-17.97833092999813,-14.069631439908317,-6.20010809347382,-19.497358248287846,-10.651075471102155,-0.8477163779660193,-13.46241818995785,-8.887671519790745,-7.899256356391491,0.028064398,2018.1144978527052,1835.0733901580659,18.70039896639773,10.86013402283676,12.201008987555742,16.240412784190926,14.728293135795347,22.18844070440711,31.125846343051705,0.04532103,3761.1825980392155,0.20304840686274508,-0.06650663167238235,0.3438035250563076,0.0007986302,1
10,100648-1-4-0.wav,-102.36777190111364,46.34596201190507,-9.581569954787378,12.106534634009417,-5.868877270812255,-26.724501018907883,-3.3847205304330976,-12.945084770267611,-15.114820781605047,-1.0386047686873836,-6.391701655866366,-5.390377256610621,-9.49075273871118,0.19630188,2576.512488820843,1992.529141331641,17.565503235084467,10.435340922681517,13.331582898228607,16.833003949814092,17.175883020235133,25.828418466448774,33.2789495338406,0.042522717,5058.924788135593,0.2507200079449153,-0.01463585626333952,3.404990492256725,0.10096141,1
2,100652-3-0-0.wav,-243.89185248632194,72.66324950115387,-91.75406044642678,9.140643077326613,-9.83128624203806,-18.645704465761618,-5.365567011431103,-3.5940175476999956,6.445058394954878,17.637359651641905,7.104806811552944,7.081882939752539,-3.9899484776025065,0.05340213,1913.439298332831,1288.158145264571,13.299126524627344,10.82843829999052,14.174503842058941,18.10323269494659,17.32336027823928,22.56847969717913,28.731340387384133,0.025490843,3053.3234126984125,0.19532025049603174,-0.21789413690567017,16.236212914764568,0.006987899,3
2,100652-3-0-1.wav,-262.30203982606474,74.34122606229755,-100.53390064193498,8.851863770195013,-7.366293897669861,-22.597645342680057,-6.351639560757671,-5.767648770868966,4.758976706834693,16.573543276185347,9.782994678424647,4.937596397282984,-8.351495264431527,0.054638583,1907.3710785941635,1202.1157706828446,11.049528569620378,10.312341583310019,13.879242379218798,18.702856019093343,17.76211986443368,23.431526336492542,27.10709163576695,0.022585064,2906.187996031746,0.20497349330357142,-0.34368225932121277,15.49568961345669,0.007364019,3
2,100652-3-0-2.wav,-270.6020811998735,78.18083524635324,-97.88167429316825,9.143107634113996,-7.437611248343592,-24.60203563669188,-6.496327716944487,-4.481254773625468,8.834030995361976,14.207364433733384,7.271160994586938,3.8117490195227384,-5.580049455333462,0.048776165,1896.888225654511,1216.647471040271,11.735690894510858,9.68531329183864,14.114351970277,17.875866977725813,17.187017584911974,22.555951390917627,26.472158166868226,0.025078379,2938.3680555555557,0.20433795262896826,-0.21273092925548553,15.697356010218424,0.0062825824,3
2,100652-3-0-3.wav,-269.2071409167086,78.46891802632204,-103.07198614123539,11.164576211986295,-9.486709716488512,-27.76831566868445,-7.562275344592749,-4.809419927197446,10.84024094769038,17.70094138001772,9.869894228123405,1.5185346803521929,-7.486754269152902,0.061160862,1851.3214017520802,1146.7432869666404,11.102761748297855,9.83694110465818,13.826088330167941,19.777125256188647,18.10872828682608,23.622090365589635,26.655087125301836,0.019045193,2842.6339285714284,0.1996062748015873,0.09438273310661316,12.953967031118715,0.009125181,3
10,100795-3-0-0.wav,-300.29337673942604,65.29867322438885,-90.41079553483063,-11.874890393503732,14.621166990128069,0.18122171208115406,4.831148013400498,0.7856747323013025,-7.034900570408949,3.2284767292811822,6.130390368833622,10.602853277101568,5.777919799073741,0.06569821,1890.593793733122,1274.9036219678994,10.848791100972647,10.345275613719258,13.77741809583142,16.412034633695896,18.58772975796079,22.28227736699611,25.763387211432185,0.031200474,2923.7971230158732,0.1903018043154762,-0.018512435257434845,10.729218920008694,0.012517581,3
10,100795-3-1-0.wav,-310.70883214158636,95.38442125802428,-86.84202864901056,-27.35131131772132,5.225906067602102,-9.385717513381579,-4.988018824057721,4.785164444275886,12.093948852351573,12.858908958500416,-8.965366910402627,4.430766719033891,2.518024864702507,0.051771354,1685.0158759362673,1251.012856697589,10.500030365725557,9.6987396010601,14.222550751762856,19.051531430707833,17.648391591031878,22.092722951819937,24.188605249582086,0.02338433,2635.4786706349205,0.16576760912698413,-0.018446216359734535,15.702789501272473,0.0067635886,3
